ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZNOHGM1,ntmatwdm,,,Hyson Green Market Tram Stop,,,,St Paul's Avenue,,Radford Road,,,,NET17,,,E0040133,Hyson Green,Nottingham,,Nottingham,,Hyson Green,,0,U,455774,341332,-1.171028905,52.96645934,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:04:00,2,rev,act
9400ZZNOBLV2,ntmwtmtp,,,University Boulevard Tram Stop,,,,University Boulevard,,University Boulevard,,,,NET W-bound,,,N0077200,Nottingham University Main Campus,Nottingham,,Nottingham University Main Campus,,,,0,U,453724,337493,-1.202183025,52.93216184,PLT,,,,,,147,2014-11-06T13:15:00,2014-11-06T14:31:00,1,rev,act
9400ZZNOBTH,,,,Butler's Hill Tram Stop,,,,,,Butlers Hill,,,,,,,E0020329,Butlers Hill,Hucknall,,Hucknall,,Butlers Hill,,0,U,454525,348252,-1.18845818,53.02878632,MET,,,,,,147,2006-04-13T00:00:00,2011-01-24T14:50:00,4,rev,act
9400ZZNOBTH1,ntsgtdja,,,Butler's Hill Tram Stop,,,,,,Butlers Hill,,,,NET38,,,E0020329,Butlers Hill,Hucknall,,Hucknall,,Butlers Hill,,0,U,454519,348259,-1.188546452,53.02884985,PLT,,,,,,147,2006-04-13T00:00:00,2010-04-12T17:41:00,4,rev,act
9400ZZNOBTH2,ntsgtdjd,,,Butler's Hill Tram Stop,,,,,,Butlers Hill,,,,NET39,,,E0020329,Butlers Hill,Hucknall,,Hucknall,,Butlers Hill,,0,U,454531,348255,-1.188368221,53.02881267,PLT,,,,,,147,2006-04-13T00:00:00,2010-04-12T17:41:00,3,rev,act
9400ZZNOBWF,,,,Bulwell Forest Tram Stop,,,,Bestwood Road,,Bestwood Road,,,,,,,N0077409,Bulwell Forest,Bulwell,Nottingham,Nottingham,,Bulwell Forest,,1,U,454405,345655,-1.190683997,53.00545605,MET,,,,,,147,2006-04-13T00:00:00,2009-03-18T16:31:00,1,rev,act
9400ZZNOBWF1,ntmatwjw,,,Bulwell Forest Tram Stop,,,,Bestwood Road,,Bestwood Road,,,,NET34,,,N0077409,Bulwell Forest,Bulwell,Nottingham,Nottingham,,Bulwell Forest,,1,U,454445,345735,-1.190074511,53.00617105,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:19:00,3,rev,act
9400ZZNOBWF2,ntmatwma,,,Bulwell Forest Tram Stop,,,,Bestwood Road,,Bestwood Road,,,,NET35,,,N0077409,Bulwell Forest,Bulwell,Nottingham,Nottingham,,Bulwell Forest,,1,U,454449,345735,-1.190014907,53.00617065,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:20:00,3,rev,act
9400ZZNOCLC,,,,Clifton Centre Tram Stop,,,,Clifton Leisure Centre,,Southchurch Drive,,,,,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455456,334348,-1.176954552,52.90371773,MET,,,,,,147,2014-11-06T09:19:00,2014-11-06T14:01:00,1,rev,act
9400ZZNOCLC1,ntmwtpjd,,,Clifton Centre Tram Stop,,,,Clifton Leisure Centre,,Southchurch Drive,,,,NET NE-bound,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455454,334350,-1.176983943,52.90373591,PLT,,,,,,147,2014-11-06T09:31:00,2014-11-06T14:00:00,1,rev,act
